10folds, Phase1,At fold 3, seed 95338,round 3 we find one with acc: 93.7888198757764, loss: 0.15251028593282523
10folds, Phase1,At fold 4, seed 95338,round 1 we find one with acc: 93.75, loss: 0.1961776666343212
10folds, Phase1,At fold 4, seed 95338,round 2 we find one with acc: 95.0, loss: 0.15158025175333023
10folds, Phase1,At fold 4, seed 95338,round 3 we find one with acc: 91.875, loss: 0.23256363719701767
10folds, Phase1,At fold 5, seed 95338,round 1 we find one with acc: 92.5, loss: 0.25024463832378385
10folds, Phase1,At fold 5, seed 95338,round 2 we find one with acc: 92.5, loss: 0.24354566335678102
10folds, Phase1,At fold 5, seed 95338,round 3 we find one with acc: 92.5, loss: 0.21909948885440828
10folds, Phase1,At fold 6, seed 95338,round 1 we find one with acc: 91.25, loss: 0.2457086145877838
10folds, Phase1,At fold 6, seed 95338,round 2 we find one with acc: 93.125, loss: 0.2110101342201233
10folds, Phase1,At fold 6, seed 95338,round 3 we find one with acc: 91.875, loss: 0.2518178462982178
10folds, Phase1,At fold 7, seed 95338,round 1 we find one with acc: 91.875, loss: 0.20638459771871567
10folds, Phase1,At fold 7, seed 95338,round 2 we find one with acc: 92.5, loss: 0.22658620811998845
10folds, Phase1,At fold 7, seed 95338,round 3 we find one with acc: 90.625, loss: 0.22660973146557808
10folds, Phase1,At fold 8, seed 95338,round 1 we find one with acc: 88.75, loss: 0.3183957010507584
10folds, Phase1,At fold 8, seed 95338,round 2 we find one with acc: 90.625, loss: 0.30847519636154175
10folds, Phase1,At fold 8, seed 95338,round 3 we find one with acc: 88.75, loss: 0.3294647067785263
10folds, Phase1,At fold 9, seed 95338,round 1 we find one with acc: 94.375, loss: 0.15594058036804198
10folds, Phase1,At fold 9, seed 95338,round 2 we find one with acc: 94.375, loss: 0.15632169246673583
10folds, Phase1,At fold 9, seed 95338,round 3 we find one with acc: 94.375, loss: 0.1634141743183136
10folds, Phase1,At fold 0, seed 94372,round 1 we find one with acc: 95.03105590062111, loss: 0.16926604277969148
