Phase1, At fold 0, seed [33864],round 1 we find one with acc: 90.84745762711864, loss: 0.23743419323937368
Phase1, At fold 0, seed [33864],round 2 we find one with acc: 91.86440677966101, loss: 0.20961492940530937
Phase1, At fold 1, seed 33864,round 1 we find one with acc: 89.79591836734694, loss: 0.27762671159643704
Phase1, At fold 1, seed 33864,round 2 we find one with acc: 88.77551020408163, loss: 0.28265695821265785
Phase1, At fold 2, seed 33864,round 1 we find one with acc: 94.89795918367346, loss: 0.16098375871878903
Phase1, At fold 2, seed 33864,round 2 we find one with acc: 94.5578231292517, loss: 0.15605350918307595
Phase1, At fold 3, seed 33864,round 1 we find one with acc: 91.15646258503402, loss: 0.24878086889682172
Phase1, At fold 3, seed 33864,round 2 we find one with acc: 89.45578231292517, loss: 0.271390911673202
Phase1, At fold 4, seed 33864,round 1 we find one with acc: 89.79591836734694, loss: 0.25106191554037083
Phase1, At fold 4, seed 33864,round 2 we find one with acc: 90.81632653061224, loss: 0.21282833682841995
10folds, Phase2,with aug, At fold 5, seed 26576,round 2 we find one with acc: 92.5, loss: 0.24684270918369294
10folds, Phase2,with aug, At fold 5, seed 26576,round 3 we find one with acc: 91.875, loss: 0.24664296209812164
10folds, Phase2,with aug, At fold 6, seed 26576,round 1 we find one with acc: 96.875, loss: 0.13544742614030839
10folds, Phase2,with aug, At fold 6, seed 26576,round 2 we find one with acc: 96.25, loss: 0.14001137614250184
10folds, Phase2,with aug, At fold 7, seed 26576,round 1 we find one with acc: 96.25, loss: 0.16362725347280502
10folds, Phase2,with aug, At fold 7, seed 26576,round 2 we find one with acc: 95.625, loss: 0.16195892915129662
10folds, Phase2,with aug, At fold 8, seed 26576,round 1 we find one with acc: 93.75, loss: 0.1818329468369484
10folds, Phase2,with aug, At fold 8, seed 26576,round 2 we find one with acc: 93.75, loss: 0.19448970556259154
10folds, Phase2,with aug, At fold 9, seed 26576,round 1 we find one with acc: 91.875, loss: 0.20526369661092758
10folds, Phase2,with aug, At fold 9, seed 26576,round 2 we find one with acc: 90.0, loss: 0.2409855380654335
10folds, Phase2,with aug, At fold 9, seed 26576,round 3 we find one with acc: 91.875, loss: 0.22235555946826935
10folds, Phase2,with aug, At fold 0, seed 26235,round 1 we find one with acc: 92.54658385093168, loss: 0.22626558214611148
10folds, Phase2,with aug, At fold 0, seed 26235,round 2 we find one with acc: 90.06211180124224, loss: 0.22860571316310338
10folds, Phase2,with aug, At fold 0, seed 26235,round 3 we find one with acc: 91.30434782608695, loss: 0.19834629853504784
10folds, Phase2,with aug, At fold 1, seed 26235,round 1 we find one with acc: 96.8944099378882, loss: 0.16140281862538794
10folds, Phase2,with aug, At fold 1, seed 26235,round 2 we find one with acc: 96.27329192546584, loss: 0.1913082608895272
10folds, Phase2,with aug, At fold 2, seed 26235,round 1 we find one with acc: 95.65217391304348, loss: 0.1477888972492692
10folds, Phase2,with aug, At fold 2, seed 26235,round 2 we find one with acc: 93.16770186335404, loss: 0.1642848026724706
10folds, Phase2,with aug, At fold 3, seed 26235,round 1 we find one with acc: 95.03105590062111, loss: 0.15843694740385741
